host_response_rate,host_is_superhost,host_total_listings_count,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
100%,f,3.0,-22.921.072.228.928,-4.318.674.901.292.460,t,House,Private room,3,1.0,1.0,3.0,Real Bed,"{Internet,Wifi,Pool,""Smoking allowed"",Breakfast,Washer,Dryer}",,$302.00,,,,,2,$50.00,1,1125,t,5,97.0,10.0,10.0,10.0,9.0,10.0,10.0,f,flexible,t,3,0.07
,f,1.0,-2.302.188.779.089.560,-43.510.535.880.858.400,f,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Gym,Elevator,""Family/kid friendly"",""Fire extinguisher""}",,$399.00,,,"$2,000.00","$1,300.00",1,$0.00,7,1125,t,0,,,,,,,,f,flexible,f,1,
100%,f,2.0,-2.296.228.987.141.470,-43.175.555.099.163.800,f,Apartment,Entire home/apt,5,1.0,1.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",,$159.00,"$5,000.00","$16,000.00",$0.00,$60.00,2,$43.00,2,30,t,51,87.0,9.0,9.0,9.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,2,0.69
,f,2.0,-22.965.194.378.618.300,-4.320.152.496.849.300,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",""Free parking on premises"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,Crib,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Wide clearance to bed"",""Accessible-height bed"",""Host greets you""}",,$201.00,,"$3,500.00","$1,500.00",$150.00,1,$50.00,3,15,t,4,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,2,0.06
100%,f,3.0,-22.982.098.459.833.900,-4.319.922.746.009.160,f,Apartment,Entire home/apt,7,2.5,3.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$395.00,,,$600.00,$180.00,6,$90.00,4,150,t,3,87.0,9.0,9.0,10.0,10.0,8.0,7.0,f,strict_14_with_grace_period,f,3,0.07
97%,f,56.0,-2.298.503.395.930.600,-4.320.624.931.363.530,f,Apartment,Private room,1,,1.0,1.0,Real Bed,"{""Family/kid friendly""}",,$271.00,,,"$1,548.00",,1,$0.00,4,1125,t,6,100.0,10.0,9.0,10.0,9.0,10.0,9.0,f,strict_14_with_grace_period,f,55,0.08
97%,f,56.0,-2.298.525.366.705.820,-4.320.481.292.410.650,f,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,{},,$271.00,,,"$2,322.00",,1,$0.00,1,1125,t,1,100.0,10.0,10.0,8.0,8.0,8.0,8.0,f,strict_14_with_grace_period,f,55,0.04
,f,1.0,-23.003.721.773.488.500,-4.334.517.051.662.540,f,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo}",,$108.00,$952.00,"$3,360.00",,$50.00,1,$50.00,1,1125,t,16,96.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.21
100%,t,2.0,-229.642.319.834.888,-4.317.948.653.380.930,t,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Wifi,Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water""}",,$116.00,,,,,1,$0.00,2,1125,t,81,94.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,2,01.05
0%,f,1.0,-22.960.311.335.873.400,-4.321.159.277.958.160,f,Apartment,Entire home/apt,4,2.0,3.0,2.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$851.00,,,"$1,500.00",$180.00,1,$0.00,1,1125,t,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,1,0.04
,f,1.0,-2.301.063.583.664.860,-4.331.393.989.475.700,f,Bed and breakfast,Private room,1,,1.0,,Real Bed,{},,$387.00,"$2,322.00","$9,675.00",,$77.00,1,$0.00,3,7,t,0,,,,,,,,f,flexible,f,1,
100%,f,1.0,-22.977.982.218.646.900,-43.191.201.140.869.700,t,Apartment,Entire home/apt,4,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Long term stays allowed"",""Host greets you""}",,$441.00,,"$9,427.00","$1,409.00",$174.00,2,$46.00,5,180,t,119,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,1,1.55
,f,1.0,-22.970.336.349.050.500,-4.329.833.632.932.040,f,Apartment,Entire home/apt,4,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Hangers,Iron,""Laptop friendly workspace""}",,$658.00,"$5,718.00",,"$1,584.00",$238.00,4,$110.00,2,365,t,1,97.0,10.0,10.0,10.0,10.0,8.0,10.0,f,strict_14_with_grace_period,t,1,0.01
75%,f,1.0,-2.294.958.093.971.540,-4.318.098.249.202.170,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Hangers,""Hair dryer"",Iron}",,$302.00,,,,$100.00,1,$0.00,7,1125,t,2,100.0,10.0,10.0,10.0,10.0,10.0,8.0,f,moderate,f,1,0.03
100%,t,7.0,-22.986.984.191.477.100,-4.319.295.455.159.260,t,Apartment,Entire home/apt,4,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Well-lit path to entrance"",""Host greets you""}",,$348.00,,,$800.00,$180.00,2,$65.00,3,45,t,129,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,4,1.67
100%,f,2.0,-2.298.353.336.761.100,-4.319.422.420.509.180,t,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Long term stays allowed"",""Host greets you""}",,$302.00,,,"$1,500.00",$460.00,2,$200.00,6,90,t,15,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,2,0.2
,f,1.0,-22.915.795.653.982.000,-4.317.566.253.281.900,t,Apartment,Private room,3,,1.0,1.0,Real Bed,{},,$581.00,,,,,1,$81.00,1,30,t,0,,,,,,,,f,flexible,f,1,
97%,f,56.0,-23.016.814.053.684.000,-4.345.980.210.917.000,t,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,""Air conditioning"",Doorman,Elevator}",,$503.00,,,,,1,$0.00,1,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,55,
100%,f,2.0,-2.298.379.801.581.270,-4.319.839.663.112.700,t,Apartment,Entire home/apt,2,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Host greets you""}",,$209.00,,,"$1,000.00",$480.00,2,$150.00,5,180,t,17,96.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,2,0.23
77%,f,13.0,-22.982.683.013.965.300,-4.321.832.932.011.800,t,Serviced apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$379.00,,"$6,000.00",$300.00,$150.00,1,$0.00,1,1125,t,11,96.0,10.0,9.0,9.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,12,0.18
,f,5.0,-22.933.778.581.920.200,-431.985.922.238.919,t,House,Private room,5,2.0,1.0,1.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,""Free street parking"",""Family/kid friendly"",""Smoke detector"",Essentials,""Lock on bedroom door"",""Hair dryer"",""Hot water"",""Host greets you""}",,$190.00,,,,,3,$55.00,1,30,t,19,95.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,5,0.25
100%,f,1.0,-2.297.775.231.220.490,-4.323.313.074.793.030,f,Apartment,Entire home/apt,4,2.0,2.0,4.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",Washer,Essentials,""24-hour check-in"",Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$619.00,"$3,695.00","$13,041.00",,$240.00,1,$300.00,7,30,t,3,90.0,9.0,9.0,10.0,10.0,10.0,8.0,f,flexible,f,1,0.05
97%,f,56.0,-22.982.070.269.719.500,-4.320.462.153.361.990,f,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"{""Cable TV"",Internet,""Air conditioning"",Kitchen,Doorman,Elevator}",,$577.00,,,,,1,$0.00,3,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,55,
100%,f,1.0,-2.297.417.387.175.380,-4.341.132.678.189.300,t,Condominium,Entire home/apt,7,1.0,3.0,6.0,Real Bed,"{TV,Kitchen,""Free parking on premises"",Doorman,Elevator,""Free street parking"",""Family/kid friendly"",Essentials,Hangers,Iron,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you""}",,$201.00,"$2,000.00","$5,000.00",,$100.00,1,$0.00,2,1125,t,10,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.16
,f,1.0,-22.966.869.841.288.500,-4.318.360.310.739.170,f,Apartment,Entire home/apt,3,1.0,1.0,2.0,Pull-out Sofa,"{TV,Wifi,""Air conditioning"",Kitchen,""Family/kid friendly"",""Suitable for events"",Washer,""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",,$302.00,,,,$120.00,1,$0.00,5,90,t,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,0.11
96%,f,1.0,-229.444.631.707.181,-4.316.261.442.202.900,t,House,Private room,3,1.0,1.0,2.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,Stove,""Luggage dropoff allowed"",""Host greets you"",Waterfront,Beachfront}",,$81.00,,,,$0.00,1,$43.00,3,28,t,161,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,1,2.22
80%,f,1.0,-22.953.337.911.903.500,-4.319.408.574.601.120,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",""Buzzer/wireless intercom"",Washer,""Fire extinguisher"",Essentials,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$81.00,$220.00,$800.00,$0.00,$40.00,1,$119.00,1,30,t,1,,,,,,,,f,moderate,f,1,1.0
100%,t,1.0,-2.296.353.910.068.790,-4.317.152.832.120.870,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,Washer,Dryer,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$151.00,,,"$1,000.00",$150.00,1,$30.00,1,999999999,t,52,95.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,t,1,0.69
100%,f,1.0,-2.298.453.720.547.950,-4.319.894.584.456.120,t,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Elevator,""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",Bathtub,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Bathtub with bath chair"",""Accessible-height toilet"",""Step-free access"",Other,""Handheld shower head""}",,$801.00,,,$0.00,$200.00,2,$0.00,5,180,t,18,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,1,0.24
80%,f,3.0,-22.937.814.598.743.000,-4.317.750.205.236.940,f,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Hangers,Iron}",,$58.00,$387.00,,,,1,$54.00,2,1125,t,83,91.0,8.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,3,1.15
100%,f,10.0,-22.983.587.330.736.300,-4.321.958.400.666.730,f,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$399.00,,"$6,500.00",,$118.00,1,$0.00,3,365,t,0,,,,,,,,f,strict_14_with_grace_period,t,4,
100%,t,4.0,-22.911.571.162.319.200,-4.317.766.089.912.050,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Room-darkening shades"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout""}",,$108.00,$700.00,"$2,200.00",$371.00,$89.00,1,$0.00,1,30,t,103,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,f,4,1.42
100%,t,1.0,-22.971.777.026.816.900,-4.339.225.722.393.120,t,Apartment,Entire home/apt,4,2.0,2.0,4.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Elevator,""Free street parking"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Children’s books and toys"",""Window guards"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Step-free access"",""Wide entryway""}",,$155.00,,"$3,200.00","$2,000.00",$0.00,1,$0.00,20,30,t,41,92.0,10.0,9.0,10.0,10.0,10.0,9.0,f,moderate,f,1,0.55
,f,1.0,-2.293.575.956.287.150,-4.317.530.346.869.460,t,Apartment,Entire home/apt,3,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Family/kid friendly"",Washer,Dryer}",,$240.00,,"$4,300.00","$1,000.00",$140.00,1,$0.00,365,1095,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
,f,2.0,-2.300.296.208.203.690,-4.334.056.371.475.420,t,Condominium,Entire home/apt,5,3.0,2.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Hangers,Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Lake access"",Beachfront}",,$201.00,"$1,400.00",,"$1,000.00",$150.00,2,$50.00,5,90,t,3,100.0,10.0,10.0,10.0,9.0,9.0,10.0,f,moderate,t,2,0.04
100%,t,5.0,-22.966.616.430.070.000,-4.318.884.707.392.230,t,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$298.00,,,"$1,500.00",$200.00,2,$100.00,2,365,t,75,98.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,t,1,01.04
,f,1.0,-22.961.685.469.812.800,-4.317.568.251.040.530,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom""}",,$182.00,,,$500.00,$80.00,1,$0.00,3,21,t,12,92.0,9.0,8.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.16
,f,2.0,-22.902.164.745.917.700,-43.179.634.164.651.200,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Air conditioning"",Kitchen,Doorman,Elevator,Washer}",,$252.00,,,$500.00,$200.00,1,$100.00,2,180,t,0,,,,,,,,f,strict_14_with_grace_period,t,1,
100%,f,17.0,-2.301.101.387.968.670,-4.335.904.602.273.070,t,Other,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,Essentials,""Bed linens"",""Extra pillows and blankets"",Beachfront}",,$271.00,"$2,285.00",,$0.00,$130.00,2,$100.00,3,730,t,4,90.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,5,0.06
100%,f,3.0,-2.294.442.281.274.460,-4.318.356.528.230.270,t,Condominium,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",""Host greets you""}",,$240.00,,"$1,590.00","$1,000.00",$230.00,3,$0.00,4,90,t,14,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,t,3,0.19
100%,f,6.0,-2.301.083.520.599.830,-4.334.168.715.539.430,t,House,Private room,2,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you"",""Paid parking on premises""}",,$190.00,,,,$80.00,1,$0.00,2,1125,t,4,93.0,10.0,10.0,10.0,10.0,10.0,9.0,f,flexible,t,6,0.06
100%,f,6.0,-23.010.579.260.081.900,-4.334.071.249.115.660,t,House,Private room,2,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock"",""Private entrance"",""Hot water"",""Bed linens"",""Paid parking on premises""}",,$151.00,"$1,000.00","$2,500.00",,$80.00,1,$0.00,2,1125,t,11,95.0,10.0,9.0,10.0,10.0,10.0,9.0,f,flexible,t,6,0.16
100%,f,6.0,-23.009.176.733.800.500,-43.340.424.629.727.300,t,House,Private room,2,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",,$221.00,,,,$80.00,1,$100.00,2,1125,t,3,87.0,10.0,10.0,10.0,10.0,10.0,8.0,f,flexible,t,6,0.05
